,git_hash,experiment_filestore,experiment,fuzzer,benchmark,time_started,time_ended,trial_id,time,edges_covered,fuzzer_stats,crash_key,bugs_covered
5,b6d7a9c8ffd4106f8929ec527f369228b835fe91,/tmp/experiment-data,d15-04-2024t23-10-41,afl,api_misuse_libxml,2024-04-15 22:12:10.366988,2024-04-16 10:22:17.706873,10,0,8003,,,0
15,b6d7a9c8ffd4106f8929ec527f369228b835fe91,/tmp/experiment-data,d15-04-2024t23-10-41,afl,api_misuse_libxml,2024-04-15 22:12:10.366988,2024-04-16 10:22:17.706873,10,900,10940,,,0
22,b6d7a9c8ffd4106f8929ec527f369228b835fe91,/tmp/experiment-data,d15-04-2024t23-10-41,afl,api_misuse_libxml,2024-04-15 22:12:10.366988,2024-04-16 10:22:17.706873,10,1800,11167,,,0
32,b6d7a9c8ffd4106f8929ec527f369228b835fe91,/tmp/experiment-data,d15-04-2024t23-10-41,afl,api_misuse_libxml,2024-04-15 22:12:10.366988,2024-04-16 10:22:17.706873,10,2700,11278,,,0
37,b6d7a9c8ffd4106f8929ec527f369228b835fe91,/tmp/experiment-data,d15-04-2024t23-10-41,afl,api_misuse_libxml,2024-04-15 22:12:10.366988,2024-04-16 10:22:17.706873,10,3600,11345,,,0
48,b6d7a9c8ffd4106f8929ec527f369228b835fe91,/tmp/experiment-data,d15-04-2024t23-10-41,afl,api_misuse_libxml,2024-04-15 22:12:10.366988,2024-04-16 10:22:17.706873,10,4500,11464,,,0
59,b6d7a9c8ffd4106f8929ec527f369228b835fe91,/tmp/experiment-data,d15-04-2024t23-10-41,afl,api_misuse_libxml,2024-04-15 22:12:10.366988,2024-04-16 10:22:17.706873,10,5400,11737,,,0
63,b6d7a9c8ffd4106f8929ec527f369228b835fe91,/tmp/experiment-data,d15-04-2024t23-10-41,afl,api_misuse_libxml,2024-04-15 22:12:10.366988,2024-04-16 10:22:17.706873,10,6300,11737,,,0
76,b6d7a9c8ffd4106f8929ec527f369228b835fe91,/tmp/experiment-data,d15-04-2024t23-10-41,afl,api_misuse_libxml,2024-04-15 22:12:10.366988,2024-04-16 10:22:17.706873,10,7200,11823,,,0
81,b6d7a9c8ffd4106f8929ec527f369228b835fe91,/tmp/experiment-data,d15-04-2024t23-10-41,afl,api_misuse_libxml,2024-04-15 22:12:10.366988,2024-04-16 10:22:17.706873,10,8100,11823,,,0
91,b6d7a9c8ffd4106f8929ec527f369228b835fe91,/tmp/experiment-data,d15-04-2024t23-10-41,afl,api_misuse_libxml,2024-04-15 22:12:10.366988,2024-04-16 10:22:17.706873,10,9000,11876,,,0
101,b6d7a9c8ffd4106f8929ec527f369228b835fe91,/tmp/experiment-data,d15-04-2024t23-10-41,afl,api_misuse_libxml,2024-04-15 22:12:10.366988,2024-04-16 10:22:17.706873,10,9900,11895,,,0
109,b6d7a9c8ffd4106f8929ec527f369228b835fe91,/tmp/experiment-data,d15-04-2024t23-10-41,afl,api_misuse_libxml,2024-04-15 22:12:10.366988,2024-04-16 10:22:17.706873,10,10800,11922,,,0
